MOD15A2H.A2010049.h10v09.006.2021153102710.Fpar_500m,MOD15A2H,A2010049,Lat-3.834436Lon-73.31897Samp17Line17,2021153102710,F,F,F,0.18,0.18,0.18,0.21,F,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.18,0.18,0.19,0.19,0.19,0.22,0.21,F,F,F,F,F,F,F,F,F,0.17,0.17,F,F,F,0.19,0.15,F,F,F,F,F,F,F,F,F,F,0.15,0.17,0.17,0.18,0.18,0.18,F,F,F,F,F,F,F,F,F,F,F,0.15,0.17,0.17,0.17,0.17,0.17,F,F,F,F,F,F,F,F,F,F,F,F,0.17,0.17,F,F,F,F,F,F,F,F,F,F,F,0.15,F,F,F,0.15,0.13,F,F,F,F,F,F,F,F,F,F,F,0.15,0.15,0.13,0.13,F,0.15,0.14,F,F,F,F,F,F,F,F,F,F,0.18,0.18,0.17,0.17,F,F,F,F,F,F,F,F,F,F,F,F,F,0.18,0.18,0.17,0.17,0.17,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.18,0.18,0.14,0.16,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,0.18,0.18,0.18,0.16,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,0.18,0.18,0.18,F,F,F,F,F,F,F,F,F,F,F,F,0.19,0.25,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,0.25,0.26,0.2,0.22,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.23,0.21,0.21,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.23,0.23,0.18,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2010057.h10v09.006.2021154000618.Fpar_500m,MOD15A2H,A2010057,Lat-3.834436Lon-73.31897Samp17Line17,2021154000618,0.83,F,F,F,F,F,0.56,F,F,F,F,F,F,0.9,0.89,0.89,0.89,0.88,F,F,F,F,F,0.45,0.34,0.38,F,F,F,0.9,0.9,0.88,0.88,0.89,0.88,F,F,0.34,0.34,F,F,F,F,F,F,0.9,0.89,0.9,0.89,F,F,F,F,F,0.58,F,F,F,0.44,F,F,F,0.89,0.89,0.89,0.9,0.89,0.9,0.88,F,F,0.04,F,F,F,F,F,F,0.9,0.89,F,F,0.9,0.89,0.9,0.73,F,F,F,F,F,F,F,F,0.89,0.89,0.89,0.89,0.89,F,0.89,0.9,0.43,F,F,F,F,F,F,F,F,0.41,0.89,0.89,0.89,0.89,0.88,0.8,F,0.3,0.3,0.16,0.12,F,F,0.64,F,F,F,0.89,0.89,0.88,0.89,0.89,F,0.9,0.22,0.23,0.23,0.38,F,F,F,F,F,F,F,0.9,0.89,0.88,0.9,0.89,F,0.22,0.38,0.38,0.45,0.63,F,F,F,F,F,0.9,0.9,0.89,0.89,0.9,F,F,F,F,0.8,0.4,0.55,0.57,0.89,0.89,F,0.39,0.89,0.89,F,0.9,F,0.89,F,0.41,0.34,0.34,0.68,0.6,0.64,0.88,F,0.89,0.89,0.89,F,F,F,F,0.89,F,0.9,0.26,0.26,0.84,0.5,F,F,F,0.89,0.89,0.89,0.88,F,F,F,F,F,0.55,0.6,F,F,F,F,F,F,F,0.89,0.88,0.88,0.9,0.9,F,0.88,0.9,0.3,0.16,F,0.6,F,F,F,0.88,0.89,0.89,F,F,F,0.9,0.88,0.89,0.82,F,F,F,F,F,F,F,F,F,F,F,0.9,0.9,F,0.89,0.88,0.35,F,F,F,F,F,F,0.9,0.89,F,F,F,0.89,0.89,0.89,0.88,0.88,0.88
MOD15A2H.A2010065.h10v09.006.2021154172119.Fpar_500m,MOD15A2H,A2010065,Lat-3.834436Lon-73.31897Samp17Line17,2021154172119,0.84,0.68,F,0.54,F,0.74,0.48,F,F,F,F,F,F,F,F,F,F,0.82,F,F,F,F,0.89,0.44,0.34,F,F,F,F,0.88,F,F,0.89,F,0.66,F,F,0.66,0.63,0.89,0.89,F,F,F,F,F,0.88,0.89,0.89,0.89,0.88,F,F,0.89,0.36,0.18,F,F,F,0.69,F,F,F,F,F,F,F,0.87,0.86,0.89,0.9,0.65,0.63,0.41,F,F,0.46,F,F,F,F,F,0.87,0.89,F,F,0.89,F,F,0.65,0.41,F,F,F,0.86,0.76,F,F,F,F,F,F,0.22,F,F,F,0.65,0.46,F,0.21,F,F,0.89,0.89,F,F,F,F,F,0.32,F,F,0.56,F,0.37,0.14,F,F,F,0.89,0.89,0.88,0.78,0.21,0.21,F,0.27,F,F,0.56,F,F,F,F,0.87,F,F,0.88,0.88,0.82,F,F,F,0.38,F,F,0.65,0.46,F,F,0.52,0.52,F,F,0.89,F,0.66,F,F,F,F,F,F,0.6,0.31,0.42,0.83,F,F,F,F,F,0.6,F,F,F,F,F,F,0.88,0.57,F,0.29,0.33,F,F,F,F,F,0.84,0.71,F,F,0.89,F,F,0.89,0.66,F,0.82,0.51,F,F,F,F,0.87,0.89,0.81,F,F,0.88,F,0.52,0.52,F,F,0.73,F,F,F,F,F,F,F,F,F,F,0.87,0.33,0.26,0.26,F,F,F,F,F,F,0.88,0.88,0.87,0.82,F,F,F,0.88,F,F,0.18,F,F,F,F,F,0.9,0.87,0.87,F,0.84,F,F,F,F,F,F,F,F,0.6,F,F,F,F,F,F,F,0.84,0.31,F,F,0.72
MOD15A2H.A2010073.h10v09.006.2021155025016.Fpar_500m,MOD15A2H,A2010073,Lat-3.834436Lon-73.31897Samp17Line17,2021155025016,F,F,F,0.39,0.54,0.61,0.61,F,F,F,F,F,F,F,F,F,F,F,F,F,0.45,0.54,0.5,0.42,0.63,0.67,0.49,0.44,0.83,F,F,F,F,F,F,F,F,0.54,0.61,F,F,F,0.62,0.52,0.82,0.67,0.36,F,F,F,0.33,0.86,0.87,0.87,0.57,0.61,0.59,0.59,0.66,0.55,0.78,0.78,0.62,0.33,F,F,F,F,0.77,F,F,0.57,0.52,0.64,0.64,0.53,0.5,F,F,0.62,0.33,F,F,F,F,0.73,F,F,0.8,0.61,0.59,F,0.86,F,F,F,F,F,F,F,F,F,0.45,F,F,F,0.63,0.49,F,F,F,F,F,F,F,F,F,F,F,0.61,0.59,0.55,0.55,F,F,0.51,F,F,F,F,F,F,F,F,F,F,0.71,0.62,0.65,0.65,F,F,F,0.89,0.89,F,F,F,F,F,F,F,F,0.82,F,F,F,0.58,F,F,0.88,0.88,0.88,0.88,0.88,F,F,F,F,F,F,0.87,0.71,F,0.54,0.58,0.79,0.79,F,0.87,0.89,0.89,F,F,F,F,F,0.9,0.7,0.71,0.71,0.59,0.69,0.87,0.87,0.87,0.83,0.89,0.89,F,0.89,F,F,F,0.9,0.7,0.58,0.49,0.49,0.88,F,F,F,0.83,F,F,0.87,0.88,0.88,0.88,F,0.55,0.59,0.62,0.59,F,0.88,0.87,F,F,0.85,F,F,F,F,F,F,F,0.64,F,F,0.52,F,F,0.87,F,F,F,0.87,0.84,0.84,0.82,F,F,F,0.89,0.89,F,F,F,F,0.87,F,F,F,0.89,0.86,0.86,0.82,F,F,F,F,F,0.43,F,F,F,0.89,0.88,0.88,F,F,0.86,0.86,0.86,0.88,0.87,0.87
MOD15A2H.A2010081.h10v09.006.2021155210431.Fpar_500m,MOD15A2H,A2010081,Lat-3.834436Lon-73.31897Samp17Line17,2021155210431,0.85,0.61,F,0.69,0.72,0.72,0.48,F,F,F,F,F,0.43,0.43,F,F,F,F,0.49,F,0.67,0.22,0.21,0.61,0.72,0.21,0.24,0.47,F,F,F,0.85,F,F,F,0.57,F,0.59,0.22,F,F,0.88,0.5,0.24,F,F,F,F,F,F,0.89,0.87,0.85,0.85,0.6,0.48,0.3,0.27,0.68,0.45,F,0.89,0.87,F,F,F,F,0.89,F,0.89,F,0.54,0.55,0.59,0.3,0.67,0.65,F,0.9,0.79,F,0.89,F,F,0.88,0.47,F,F,F,0.39,0.59,F,F,0.64,F,F,0.82,F,0.89,0.85,0.85,F,0.58,0.88,0.88,0.79,0.42,0.48,F,F,F,0.48,0.88,0.89,F,0.88,F,F,0.83,F,0.6,0.47,0.41,F,0.38,0.39,F,F,F,0.89,F,0.88,F,F,F,0.88,0.09,0.67,0.27,0.41,F,F,F,F,F,F,F,F,F,F,F,0.89,0.89,F,0.52,0.04,0.61,0.58,F,F,0.88,0.88,F,F,F,F,F,F,0.9,0.9,F,F,0.36,0.54,0.31,0.29,F,F,F,F,0.88,F,F,F,F,F,F,0.52,0.36,0.36,0.36,0.36,0.4,F,F,F,F,0.88,0.88,F,F,F,F,F,0.52,0.52,0.3,0.43,0.35,F,0.89,0.81,F,F,F,0.88,F,F,F,F,F,0.38,0.24,0.24,0.45,F,F,F,0.81,F,F,F,0.9,F,0.89,0.87,F,F,0.32,0.25,0.3,0.33,F,F,F,0.87,F,F,F,0.89,F,F,0.87,0.82,F,F,F,0.61,0.61,0.36,F,F,F,F,F,0.88,0.88,0.87,F,F,F,F,F,F,0.42,0.42,0.29,F,F,F,F,F,0.85,0.85,0.87,F,F,F,F
MOD15A2H.A2010089.h10v09.006.2021156124711.Fpar_500m,MOD15A2H,A2010089,Lat-3.834436Lon-73.31897Samp17Line17,2021156124711,0.77,0.43,F,0.4,0.52,0.52,0.59,F,F,F,F,F,F,F,0.35,0.35,F,0.81,0.81,F,0.44,0.54,0.56,0.52,0.57,0.57,0.47,0.54,F,F,F,0.8,F,F,0.79,0.79,F,0.53,0.53,0.87,0.87,F,0.31,0.34,0.86,F,0.05,0.05,0.83,F,F,0.85,0.85,0.85,0.5,0.43,0.36,0.49,0.31,0.31,F,0.86,0.89,0.89,0.87,0.83,0.88,0.88,F,F,F,0.43,0.43,0.36,0.36,F,F,F,F,0.88,0.89,0.87,0.87,F,F,F,F,F,F,0.27,0.22,F,F,F,F,0.89,0.88,0.88,0.87,0.87,0.87,0.87,0.49,F,F,F,0.22,F,F,F,F,F,0.89,0.88,0.87,0.87,0.88,F,F,F,F,0.22,0.22,F,F,0.43,F,F,F,0.35,F,F,F,0.88,F,F,F,F,F,F,F,F,F,F,F,0.26,0.35,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.26,0.26,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.33,0.33,0.3,0.3,F,F,F,F,F,F,F,F,F,F,F,0.45,0.45,0.5,0.5,0.37,F,F,F,F,F,F,F,F,F,F,F,F,0.48,F,0.5,0.5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.09,0.18,0.11,F,F,F,F,F,F,0.26,0.26,F,F,F,F,F,F,0.18,0.3,0.11,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2010097.h10v09.006.2021157111726.Fpar_500m,MOD15A2H,A2010097,Lat-3.834436Lon-73.31897Samp17Line17,2021157111726,0.3,0.12,F,0.48,0.45,F,F,F,F,F,F,F,F,0.9,0.9,0.9,F,0.89,0.89,F,0.48,0.48,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,F,0.89,0.89,F,0.15,0.15,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.16,0.16,0.17,F,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,F,0.23,0.67,0.2,0.14,0.59,0.59,F,F,F,F,F,0.9,0.9,0.9,F,F,F,F,0.67,0.67,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.32,F,F,F,0.09,0.12,F,0.43,F,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.5,0.39,0.26,0.09,F,0.12,0.51,F,F,F,0.89,0.89,F,F,F,0.89,0.89,0.09,0.73,0.66,0.5,F,F,F,F,0.89,0.89,0.89,0.89,0.64,0.87,0.9,0.9,0.9,0.14,0.09,0.14,0.5,0.56,F,F,0.89,0.89,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,F,0.19,0.18,0.18,0.14,0.89,0.89,0.89,0.89,F,0.9,0.9,0.9,0.9,0.9,0.9,0.28,0.26,0.18,0.18,0.18,0.18,F,F,0.9,0.89,0.88,0.9,0.9,0.9,0.9,0.9,0.9,0.31,0.44,0.26,0.26,0.26,F,0.9,F,F,0.89,0.88,0.87,0.9,0.9,0.9,0.9,0.9,0.6,0.63,0.4,0.4,F,0.9,F,F,0.9,F,0.88,0.89,0.89,0.89,F,0.88,0.89,0.26,0.26,0.42,0.39,F,0.9,F,0.9,0.9,0.87,0.27,0.27,0.11,0.11,0.88,0.89,0.88,0.79,F,0.32,0.42,0.42,F,F,0.9,0.88,0.9,0.9,0.26,0.11,0.11,0.9,0.9,0.9,0.86,F,0.32,0.29,0.29,F,F,F,0.88,0.89,0.26,0.9,F,0.89,F,0.9,0.9
MOD15A2H.A2010105.h10v09.006.2021158215742.Fpar_500m,MOD15A2H,A2010105,Lat-3.834436Lon-73.31897Samp17Line17,2021158215742,0.87,0.79,F,0.64,0.58,0.61,0.61,F,F,F,F,F,0.79,0.79,0.76,0.85,F,0.89,0.65,F,0.57,0.58,0.63,0.51,0.65,0.65,0.65,0.47,0.87,0.88,0.85,0.85,0.76,0.85,0.72,F,F,0.43,0.47,0.9,0.83,0.84,0.65,0.65,0.85,0.85,0.86,0.89,0.85,0.77,0.83,0.89,0.89,F,0.26,0.43,0.62,0.75,0.57,0.57,0.84,0.79,0.79,0.8,0.89,0.85,0.88,0.9,0.29,0.89,F,0.26,0.42,0.65,0.65,0.58,0.58,F,F,0.79,0.89,0.89,0.89,0.81,0.9,0.43,0.81,0.81,0.85,0.62,0.5,F,0.65,0.83,F,F,0.9,0.89,0.89,0.76,0.76,0.9,0.45,F,F,F,0.62,0.55,F,0.65,F,0.75,0.75,0.89,0.89,0.9,F,0.76,F,0.56,0.54,0.42,0.47,F,0.5,0.71,0.85,F,F,0.9,0.9,0.89,0.89,F,F,0.9,0.51,0.47,0.47,0.49,F,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.75,0.9,0.9,0.63,0.51,0.79,0.46,0.36,0.48,F,F,0.84,0.84,0.81,0.81,0.9,0.89,0.87,0.87,0.9,F,0.82,F,0.47,0.4,0.39,0.45,F,F,F,0.84,0.79,0.89,0.88,F,0.87,0.85,0.85,0.84,0.44,0.44,0.62,0.4,0.67,F,0.89,0.86,0.9,0.9,0.89,0.88,0.88,0.9,0.89,F,0.43,0.43,0.54,0.67,0.67,0.87,0.88,0.85,0.85,0.82,0.82,0.8,0.9,F,F,0.9,F,0.39,0.51,0.51,0.58,F,F,F,F,0.84,0.84,0.83,0.83,F,0.81,F,0.76,0.9,0.59,0.59,0.5,0.51,F,F,F,0.89,F,F,0.85,0.9,0.9,F,F,0.76,0.78,0.88,0.88,0.58,0.51,0.51,F,F,0.9,0.9,F,F,F,F,0.82,0.8,0.8,0.78,F,0.87,0.51,0.46,0.57,F,F,F,F,F,0.86,0.9,0.83,0.83,F,0.83,0.8
MOD15A2H.A2010113.h10v09.006.2021159102839.Fpar_500m,MOD15A2H,A2010113,Lat-3.834436Lon-73.31897Samp17Line17,2021159102839,F,0.82,F,0.42,0.42,0.42,0.36,F,F,F,F,F,F,F,F,F,F,F,0.44,F,0.23,0.28,0.29,0.3,0.36,0.3,0.27,0.23,F,F,F,F,F,F,0.46,0.44,F,0.28,0.29,0.3,F,F,0.28,0.28,F,F,F,F,F,F,F,0.26,0.26,0.21,0.28,0.28,0.28,0.28,0.26,0.22,F,F,F,F,F,0.21,F,F,0.3,0.3,0.8,0.32,0.32,0.32,0.3,0.28,0.28,F,F,F,F,F,F,F,F,0.71,0.79,0.79,0.8,0.33,0.3,F,F,F,F,F,F,F,F,F,F,F,0.27,0.71,0.83,0.83,0.33,0.3,F,F,F,F,F,F,F,F,F,F,F,0.42,0.34,0.34,0.34,F,0.34,0.25,F,F,F,F,F,F,F,F,F,F,0.42,0.42,0.34,0.34,F,F,F,F,F,F,F,F,F,F,F,F,F,0.4,0.42,0.41,0.41,0.35,F,F,F,F,F,F,F,F,F,F,F,F,0.83,0.83,0.48,0.45,0.39,0.35,F,F,F,F,0.26,F,F,F,F,F,F,0.47,0.47,0.48,0.45,0.48,0.39,0.84,0.84,0.79,0.79,0.79,F,F,F,F,F,F,0.47,0.47,0.51,0.51,0.47,0.84,F,F,0.79,0.79,0.79,F,F,F,F,F,F,0.46,0.56,0.65,0.49,F,F,F,F,F,F,F,0.26,0.31,F,F,F,F,0.65,0.65,0.55,0.43,F,0.83,0.83,0.83,F,F,F,F,0.23,0.24,0.11,0.11,F,F,F,0.42,0.42,0.46,0.83,0.83,0.83,F,F,F,F,0.42,0.37,0.36,F,F,F,F,0.34,0.45,0.48,F,F,F,F,F,F,F,F,F,0.36,0.3,0.3
MOD15A2H.A2010121.h10v09.006.2021160010956.Fpar_500m,MOD15A2H,A2010121,Lat-3.834436Lon-73.31897Samp17Line17,2021160010956,0.85,0.56,F,0.32,0.34,0.21,0.21,F,F,F,F,F,0.48,0.09,F,F,F,0.87,0.68,F,0.21,0.34,0.21,0.49,0.3,0.3,0.34,0.35,0.54,0.48,0.17,F,F,F,0.84,0.84,F,0.34,0.53,0.89,F,F,0.38,0.56,0.54,0.54,0.16,F,F,F,F,0.73,0.84,F,0.36,F,F,0.22,0.22,0.38,F,F,F,F,F,F,F,F,0.73,0.88,0.89,0.61,0.42,0.32,F,F,F,0.26,F,F,F,F,F,F,F,0.77,0.89,F,F,0.41,0.34,F,F,F,F,F,F,F,F,F,F,F,0.48,0.9,0.9,0.89,0.57,0.4,F,F,F,F,F,F,F,F,F,F,F,0.15,0.16,0.47,0.58,F,0.42,0.42,F,F,F,0.42,F,F,F,F,F,F,0.16,0.16,0.26,0.26,F,F,F,F,F,F,0.47,F,F,F,F,F,F,0.56,0.57,0.36,0.36,0.28,F,F,F,F,F,0.46,0.37,F,F,F,F,F,F,F,0.3,0.28,0.35,0.3,F,F,F,F,0.43,F,F,0.67,F,F,F,0.49,0.43,0.35,0.35,0.35,0.3,F,F,F,F,0.13,0.58,0.67,0.67,F,F,F,0.43,0.43,0.43,0.35,0.36,F,F,F,F,F,F,0.58,0.62,0.62,0.05,F,F,0.39,F,F,F,F,F,F,F,F,F,F,F,0.35,0.35,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.89,0.89,F,F,F,F,F,0.26,0.33,F,F,F,F,F,F,F,F,F,0.89,F,F,F,0.21,F,0.3,0.59,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2010129.h10v09.006.2021160154610.Fpar_500m,MOD15A2H,A2010129,Lat-3.834436Lon-73.31897Samp17Line17,2021160154610,0.84,0.84,F,0.6,0.78,0.81,0.8,F,F,F,F,F,0.89,0.89,0.89,0.89,0.89,0.88,0.88,F,0.67,0.81,0.84,0.64,0.8,0.83,0.83,0.79,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,F,0.76,0.78,0.9,0.9,0.9,0.74,0.83,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.9,0.75,0.78,0.83,0.77,0.8,0.68,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.75,0.75,0.8,0.78,0.69,0.77,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.9,0.9,0.75,0.66,F,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.67,0.88,0.88,0.9,0.66,0.66,F,0.88,F,0.86,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.78,0.77,0.69,0.73,F,0.69,0.53,0.88,F,F,0.86,0.88,0.88,0.89,0.89,0.9,0.9,0.78,0.51,0.53,0.7,F,F,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.78,0.76,0.76,0.64,0.69,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.82,0.6,0.59,0.65,F,0.88,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.83,0.81,0.84,0.74,F,0.88,0.9,0.88,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.81,0.73,0.78,0.8,0.68,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.54,0.66,0.7,0.57,F,0.89,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.77,0.78,0.67,0.7,F,0.89,F,F,F,0.89,0.89,0.89,0.89,F,F,0.89,0.89,F,0.89,0.73,0.72,0.64,0.89,F,F,F,0.89,0.89,0.89,0.89,F,F,F,F,0.89,0.89,0.73,0.82,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,F,F,F
MOD15A2H.A2010137.h10v09.006.2021161031916.Fpar_500m,MOD15A2H,A2010137,Lat-3.834436Lon-73.31897Samp17Line17,2021161031916,0.64,0.74,F,0.47,0.47,0.6,0.59,F,F,F,F,F,0.77,0.89,F,F,F,F,0.62,F,0.56,0.72,0.72,0.61,0.65,0.72,0.68,0.47,0.76,0.79,0.88,F,F,F,0.77,0.73,F,0.71,0.73,0.88,0.88,0.88,0.74,0.61,0.81,0.79,0.81,0.88,F,F,F,0.81,0.89,0.84,0.74,0.64,0.67,0.67,0.7,0.63,0.86,0.84,0.84,0.88,F,0.89,0.89,F,0.78,0.88,F,0.45,0.64,0.57,0.53,0.53,0.55,0.87,0.82,0.87,0.88,F,F,F,F,0.85,F,F,F,0.64,0.59,F,0.81,0.81,0.8,0.87,0.86,0.87,F,F,F,F,0.37,F,F,F,0.64,0.51,F,F,F,0.26,F,0.86,F,F,F,F,0.11,0.3,0.3,0.35,0.35,F,0.34,0.33,F,F,F,F,F,F,F,F,F,F,0.34,0.34,0.3,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,0.34,0.3,0.3,0.3,0.3,F,F,F,F,F,F,F,0.35,F,F,F,F,F,F,0.31,0.16,0.2,0.36,F,F,F,F,F,F,F,F,F,0.76,0.76,0.29,F,0.34,F,F,0.36,F,F,F,F,F,F,F,F,F,F,F,0.29,F,F,F,F,F,F,F,F,F,F,F,F,0.9,F,F,F,0.58,0.41,F,0.2,F,F,F,F,F,F,F,F,0.9,0.9,F,0.89,F,0.3,F,F,0.37,F,F,F,F,F,F,F,F,F,F,F,F,F,0.9,F,F,0.45,0.11,F,F,F,F,F,F,F,F,F,F,F,F,0.83,F,0.46,0.33,0.42,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2010145.h10v09.006.2021161153313.Fpar_500m,MOD15A2H,A2010145,Lat-3.834436Lon-73.31897Samp17Line17,2021161153313,0.85,F,F,0.25,0.25,0.41,0.28,F,F,F,F,F,0.89,0.9,0.9,0.9,0.9,0.88,F,F,F,F,0.3,0.38,0.41,F,F,0.67,0.89,0.89,0.9,0.9,0.89,0.89,F,0.47,F,0.3,0.3,F,F,F,0.38,0.38,F,F,F,0.26,0.26,F,0.89,F,F,F,0.28,0.28,F,F,0.43,0.65,0.89,F,F,F,F,F,F,F,F,F,F,0.24,0.24,0.43,0.43,0.43,0.43,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.84,0.84,F,F,F,F,0.4,F,F,0.88,0.88,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.55,F,F,F,0.35,0.42,F,F,F,0.88,0.88,0.88,0.88,F,F,0.89,0.89,0.55,0.55,0.55,0.55,F,0.6,0.5,0.89,F,F,0.88,0.88,0.88,F,F,F,F,0.62,0.62,0.62,0.55,F,F,F,0.89,0.89,0.88,0.88,0.88,0.88,0.89,0.89,0.89,F,0.62,0.62,F,0.21,0.66,F,F,0.9,0.89,0.89,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.9,0.9,F,0.2,0.7,0.66,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.42,0.47,0.47,0.33,F,F,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.61,0.61,0.61,0.33,F,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.9,0.9,F,0.9,0.53,0.61,0.61,0.62,F,0.9,0.9,0.89,0.89,0.89,0.88,0.88,0.88,0.9,0.87,0.87,0.87,0.29,0.26,0.21,0.63,F,0.9,0.9,0.89,0.89,0.89,0.89,F,F,0.87,F,F,0.87,0.9,0.9,F,F,F,0.9,0.9,0.89,0.89,0.89,0.89,F,F,0.87,F,F,F,0.9,0.9,F,F,0.38,0.9,0.9,0.89,0.89,0.89,0.89,F,F,0.87,F,F,0.83
MOD15A2H.A2010153.h10v09.006.2021161225828.Fpar_500m,MOD15A2H,A2010153,Lat-3.834436Lon-73.31897Samp17Line17,2021161225828,0.11,F,F,0.28,0.31,0.44,0.44,F,F,F,F,F,F,F,F,F,F,F,0.21,F,0.28,0.28,0.44,0.38,0.34,0.34,0.42,0.38,F,F,F,F,F,F,F,F,F,0.22,0.35,F,0.43,0.43,0.37,0.34,F,F,F,F,F,F,F,F,F,F,0.4,0.37,0.43,0.55,0.55,0.46,0.82,0.85,0.85,F,F,F,F,F,F,F,F,0.4,0.4,0.4,0.54,0.54,0.62,F,F,F,F,F,F,F,F,0.63,0.88,F,F,0.48,0.48,F,F,F,0.42,F,F,0.62,F,F,F,F,0.32,0.88,0.88,F,0.48,F,F,F,F,0.42,0.86,0.86,0.86,0.33,F,F,F,0.14,0.54,0.43,0.31,F,F,0.28,F,F,F,0.87,0.87,F,F,F,F,F,0.43,0.4,0.4,0.47,F,F,F,F,F,F,F,F,F,F,F,F,F,0.47,0.21,0.42,0.24,0.21,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.42,0.21,0.25,F,F,F,F,F,F,F,F,F,F,F,F,0.42,0.25,0.25,0.27,0.27,F,F,F,F,F,F,F,F,F,F,F,F,0.24,0.25,0.25,0.25,0.25,F,F,F,F,F,F,F,F,F,F,F,F,0.14,0.11,0.25,0.25,F,F,F,F,F,F,F,F,F,F,F,F,F,0.21,0.11,0.11,0.23,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.11,0.11,F,F,F,F,F,0.42,F,F,F,F,F,F,F,F,0.23,0.11,0.11,F,0.79,F,F,F,F,0.48,F,F,F,F,F
